,name,date,expenses
0,Anne Bennett,2020-01-01,856
1,Anne Bennett,2020-01-02,2224
2,Anne Bennett,2020-01-03,1223
3,Anne Bennett,2020-01-04,905
4,Anne Bennett,2020-01-05,3369
5,Anne Bennett,2020-01-06,2741
6,Anne Bennett,2020-01-07,363
7,Anne Bennett,2020-01-08,2818
8,Anne Bennett,2020-01-09,2805
9,Anne Bennett,2020-01-10,2075
10,Anne Bennett,2020-01-11,924
11,Anne Bennett,2020-01-12,3193
12,Anne Bennett,2020-01-13,2300
13,Anne Bennett,2020-01-14,1249
14,Anne Bennett,2020-01-15,2341
15,Anne Bennett,2020-01-16,974
16,Anne Bennett,2020-01-17,243
17,Anne Bennett,2020-01-18,2156
18,Anne Bennett,2020-01-19,2157
19,Anne Bennett,2020-01-20,1762
20,Anne Bennett,2020-01-21,448
21,Anne Bennett,2020-01-22,3259
22,Anne Bennett,2020-01-23,1735
23,Anne Bennett,2020-01-24,3376
24,Anne Bennett,2020-01-25,1516
25,Anne Bennett,2020-01-26,2014
26,Anne Bennett,2020-01-27,325
27,Anne Bennett,2020-01-28,1892
28,Anne Bennett,2020-01-29,2068
29,Anne Bennett,2020-01-30,459
30,Anne Bennett,2020-01-31,2999
31,Anne Bennett,2020-02-01,1659
32,Anne Bennett,2020-02-02,2503
33,Anne Bennett,2020-02-03,3348
34,Anne Bennett,2020-02-04,1585
35,Anne Bennett,2020-02-05,201
36,Anne Bennett,2020-02-06,516
37,Anne Bennett,2020-02-07,1853
38,Anne Bennett,2020-02-08,871
39,Anne Bennett,2020-02-09,1913
40,Anne Bennett,2020-02-10,1315
41,Anne Bennett,2020-02-11,257
42,Anne Bennett,2020-02-12,1906
43,Anne Bennett,2020-02-13,237
44,Anne Bennett,2020-02-14,247
45,Anne Bennett,2020-02-15,1459
46,Anne Bennett,2020-02-16,1164
47,Anne Bennett,2020-02-17,593
48,Anne Bennett,2020-02-18,902
49,Anne Bennett,2020-02-19,1074
50,Anne Bennett,2020-02-20,356
51,Anne Bennett,2020-02-21,2527
52,Anne Bennett,2020-02-22,2443
53,Anne Bennett,2020-02-23,749
54,Anne Bennett,2020-02-24,2936
55,Anne Bennett,2020-02-25,2943
56,Anne Bennett,2020-02-26,2038
57,Anne Bennett,2020-02-27,1328
58,Anne Bennett,2020-02-28,2437
59,Anne Bennett,2020-02-29,2868
60,Anne Bennett,2020-03-01,1092
61,Anne Bennett,2020-03-02,1405
62,Anne Bennett,2020-03-03,416
63,Anne Bennett,2020-03-04,1828
64,Anne Bennett,2020-03-05,834
65,Anne Bennett,2020-03-06,3140
66,Anne Bennett,2020-03-07,506
67,Anne Bennett,2020-03-08,3267
68,Anne Bennett,2020-03-09,2720
69,Anne Bennett,2020-03-10,2046
70,Anne Bennett,2020-03-11,1940
71,Anne Bennett,2020-03-12,1166
72,Anne Bennett,2020-03-13,2128
73,Anne Bennett,2020-03-14,1080
74,Anne Bennett,2020-03-15,2055
